Gene,Function,Disease,Types of alterations,Targeted therapy,MRD Marker status,CHIP status,ELN 2022 RISK,MRD technique,Sensitivity,Monitoring frequency,Sample,ELN comment,CHIP
ABL1,non-receptor tyrosine kinase,Acute Myeloid Leukemia,"Fusions, Kinase domain mutations","Tyrosine kinase inhibitors: Imatinib, Dasatinib, nilotinib, Ponatinib, Bosutinib, Asciminib",Yes,No,Adverse,RQ-PCR / ddPCR (fusion-specific),10⁻⁵–10⁻⁶,"End induction, post-consolidation, q3 months × 2 yrs",BM (PB acceptable if fusion-driven),Valid only in fusion-associated disease,No
ABL2,non-receptor tyrosine kinase,Acute Lymphoblastic Leukemia,Fusions,"Tyrosine kinase inhibitors: Imatinib, Dasatinib, nilotinib, Ponatinib, Bosutinib",Yes,No,,RQ-PCR / ddPCR (fusion-specific),10⁻⁵,Post-therapy,BM,Valid in ALL-related fusions,No
ANKRD26,ankyrin repeat domain protein that is involved in regulation of megakaryopoiesis,Acute Myeloid Leukemia,Mutations and Copy number gain,No,No,No,Intermediate,Not recommended,,,,Germline predisposition / non-MRD gene,No
ASXL1,tumor suppressor and epigenetic regulator,Acute Myeloid Leukemia,Mutations,No,No,Yes,Adverse,ecNGS (clonal tracking),10⁻³–10⁻⁴,,BM,CHIP / pre-leukemic clone,Yes
ASXL2,tumor suppressor and epigenetic regulator,Acute Myeloid Leukemia,Mutations,No,No,Yes,Adverse,Not recommended for MRD,10⁻³–10⁻⁴,,BM,CHIP / pre-leukemic clone,Yes
BCR/ABL1,chimeric fusion,Acute Myeloid Leukemia,Fusion,Tyrosine kinase inhibitors effect unknown,Yes,No,Adverse,,,,,,No
BCOR,transcriptional repressor,Acute Myeloid Leukemia,Mutations,No,Yes,Yes,Adverse,ecNGS (supportive only),10⁻⁴,,BM,CHIP-associated; not standalone MRD,Yes
BCL2,anti-apoptotic protein,NHL,Fusion,No,Yes,No,,,,,,,No
CALR,"calreticulin, is a calcium-binding protein: molecular chaperone ",Myeloproliferative Neoplasm,Mutations,No,Yes,No,,ddPCR / NGS,10⁻⁴–10⁻⁵,,PB,MPN molecular response marker,No
CBL,tumor suppressor and ubiquitin ligase,Acute Myeloid Leukemia,Mutations,No,Yes,Yes,Intermediate,ecNGS only,10⁻⁴,,BM,Secondary / CHIP-like behavior,Yes
CCND1,cell cycle regulator,Mantle Cell Lymphoma,Fusion,No,Yes,No,,,,,,,No
CSF3R,transmembrane receptor for cytokine colony-stimulating factor 3,Acute Myeloid Leukemia,Mutations,Yes: Proximal membrane: Ruxolitinib; Distal membrane: Dasatinib,Yes,Yes,Intermediate,ecNGS / ddPCR,10⁻⁴–10⁻⁵,,BM,Context-dependent MRD,Yes
CBFB/MYH11,chimeric fusion: core binding factor AML,Acute Myeloid Leukemia,Fusion,Yes: Gemtuzumab Ozogamicin,Yes,No,Favorable,,,,,,No
CEBPA,tumor suppressor and transcription factor,Acute Myeloid Leukemia,Mutations,No,Yes,No,Favorable,ecNGS,~10⁻⁴,,BM,Supportive MRD only,No
CREBBP,tumor suppressor and transcriptional co-activator,Acute Myeloid Leukemia,Fusion,No,Yes,No,Adverse,Not recommended,,,,Secondary event,No
DDX41,RNA helicase involved in innate immunity,Acute Myeloid Leukemia,Mutations,No,Yes*,No,Intermediate,Not MRD,,,,Germline predisposition gene,No
DNMT3A,tumor suppressor and DNA methyltransferase,Acute Myeloid Leukemia,Mutations,No,No,Yes,,ecNGS only,,,,CHIP clone persistence common,Yes
ETV6,transcription factor,Acute Myeloid Leukemia,Mutation,No,Yes,No,Intermediate,,,,,,No
ETV6,transcription factor,Acute Myeloid Leukemia,Fusion,Yes,Yes,No,Intermediate,,,,,,No
EZH2,Polycomb repressive complex 2 ,Acute Myeloid Leukemia,Mutations,Yes: Tazmetostat,Yes,No,Adverse,ecNGS (supportive),10⁻⁴,,,,No
FGFR1, receptor tyrosine kinase,Acute Myeloid Leukemia,Fusion,Yes: Ponatinib,Yes,No,Intermediate,,,,,,No
FGFR2, receptor tyrosine kinase,Acute Myeloid Leukemia,Fusion,Yes: Ponatinib,Yes,No,Intermediate,,,,,,No
